Local time,Open,High,Low,Close,Volume
30.10.2018 23:50:00.000 GMT+0530,75.465,75.845,75.435,75.720,0.0697
30.10.2018 23:55:00.000 GMT+0530,75.720,75.985,75.720,75.915,0.09519999999999999
31.10.2018 00:00:00.000 GMT+0530,75.915,75.915,75.915,75.915,0
31.10.2018 00:05:00.000 GMT+0530,75.915,75.915,75.915,75.915,0
31.10.2018 00:10:00.000 GMT+0530,75.915,75.915,75.915,75.915,0
31.10.2018 00:15:00.000 GMT+0530,75.915,75.915,75.915,75.915,0
31.10.2018 00:20:00.000 GMT+0530,75.915,75.915,75.915,75.915,0
31.10.2018 00:25:00.000 GMT+0530,75.915,75.915,75.915,75.915,0
31.10.2018 00:30:00.000 GMT+0530,75.915,75.915,75.915,75.915,0
31.10.2018 00:35:00.000 GMT+0530,75.915,75.915,75.915,75.915,0
31.10.2018 00:40:00.000 GMT+0530,75.915,75.915,75.915,75.915,0
31.10.2018 00:45:00.000 GMT+0530,75.915,75.915,75.915,75.915,0
31.10.2018 00:50:00.000 GMT+0530,75.915,75.915,75.915,75.915,0
31.10.2018 00:55:00.000 GMT+0530,75.915,75.915,75.915,75.915,0
31.10.2018 01:00:00.000 GMT+0530,75.915,75.915,75.915,75.915,0
31.10.2018 01:05:00.000 GMT+0530,75.915,75.915,75.915,75.915,0
31.10.2018 01:10:00.000 GMT+0530,75.915,75.915,75.915,75.915,0
31.10.2018 01:15:00.000 GMT+0530,75.915,75.915,75.915,75.915,0
31.10.2018 01:20:00.000 GMT+0530,75.915,75.915,75.915,75.915,0
31.10.2018 01:25:00.000 GMT+0530,75.915,75.915,75.915,75.915,0
31.10.2018 01:30:00.000 GMT+0530,75.915,75.915,75.915,75.915,0
31.10.2018 01:35:00.000 GMT+0530,75.915,75.915,75.915,75.915,0
31.10.2018 01:40:00.000 GMT+0530,75.915,75.915,75.915,75.915,0
31.10.2018 01:45:00.000 GMT+0530,75.915,75.915,75.915,75.915,0
31.10.2018 01:50:00.000 GMT+0530,75.915,75.915,75.915,75.915,0
31.10.2018 01:55:00.000 GMT+0530,75.915,75.915,75.915,75.915,0
31.10.2018 02:00:00.000 GMT+0530,75.915,75.915,75.915,75.915,0
31.10.2018 02:05:00.000 GMT+0530,75.915,75.915,75.915,75.915,0
31.10.2018 02:10:00.000 GMT+0530,75.915,75.915,75.915,75.915,0
31.10.2018 02:15:00.000 GMT+0530,75.915,75.915,75.915,75.915,0
31.10.2018 02:20:00.000 GMT+0530,75.915,75.915,75.915,75.915,0
31.10.2018 02:25:00.000 GMT+0530,75.915,75.915,75.915,75.915,0
31.10.2018 02:30:00.000 GMT+0530,75.915,75.915,75.915,75.915,0
